ID,Gene,Annotation
NP_660200,LIPT1,"Chr_1	AUGUSTUS	gene	196541420	196542454	.	-	.	ID=Marm_03443;blast_id=""sp|Q9Y234|LIPT_HUMAN"";interproscan_id=""IPR004562"";eggnog_id=""lipoate-protein_ligase_activity"""
NP_660213,MRPL30,"Chr_1	AUGUSTUS	gene	196528643	196532881	.	-	.	ID=Marm_03442;blast_id=""sp|Q8TCC3|RM30_HUMAN"";interproscan_id=""IPR005996"";eggnog_id=""ribosomal_protein_L30"""
NP_660286,OMA1,"Chr_3	AUGUSTUS	gene	89494632	89531647	.	+	.	ID=Marm_17461;blast_id=""sp|Q96E52|OMA1_HUMAN"";interproscan_id=""IPR001915"";eggnog_id=""negative_regulation_of_mitochondrial_fusion"""
NP_660305,GLYCTK,"Chr_2	AUGUSTUS	gene	65651901	65665750	.	+	.	ID=Marm_11690;blast_id=""sp|Q8IVS8|GLCTK_HUMAN"";interproscan_id=""IPR039760"";eggnog_id=""glycerate_kinase_activity"""
NP_660308,CCDC127,"Chr_10	AUGUSTUS	gene	70046978	70053349	.	-	.	ID=Marm_05278;blast_id=""sp|Q96BQ5|CC127_HUMAN"";interproscan_id=""IPR034607"";eggnog_id=""Coiled-coil_domain_containing_127"""
NP_660310,SDHAF4,"Chr_10	AUGUSTUS	gene	1932124	1936144	.	+	.	ID=Marm_04134;blast_id=""sp|Q5VUM1|SDHF4_HUMAN"";interproscan_id=""IPR012875"";eggnog_id=""Protein_of_unknown_function_(DUF1674)"""
NP_660325,SLC25A48,"Chr_2	AUGUSTUS	gene	88030379	88061674	.	-	.	ID=Marm_14037;blast_id=""sp|Q6ZT89|S2548_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""mitochondrial_transport"""
NP_660348,SLC25A43,"Chr_15	AUGUSTUS	gene	16758368	16766916	.	+	.	ID=Marm_08248;blast_id=""sp|Q8WUT9|S2543_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""Solute_carrier_family_25_member_43"""
NP_660358,AFG1L,"Chr_1	AUGUSTUS	gene	92800576	92888726	.	-	.	ID=Marm_02805;blast_id=""sp|Q8WV93|AFG1L_HUMAN"";interproscan_id=""IPR005654"";eggnog_id=""mitochondrial_protein_catabolic_process"""
NP_663303,MRPL33,"Chr_21	AUGUSTUS	gene	10775568	10780547	.	-	.	ID=Marm_15886;eggnog_id=""1-aminocyclopropane-1-carboxylate_synthase_homolog_(Arabidopsis)(non-functional)"""
NP_663619,MRPL35,"Chr_3	AUGUSTUS	gene	130531788	130537255	.	+	.	ID=Marm_17832;blast_id=""sp|Q9NZE8|RM35_HUMAN"";interproscan_id=""IPR019338"";eggnog_id=""ribosomal_protein_L35"""
NP_663729,ATPAF2,"Chr_18	AUGUSTUS	gene	1869202	1874131	.	+	.	ID=Marm_09698;blast_id=""sp|Q8N5M1|ATPF2_HUMAN"";interproscan_id=""IPR011419"";eggnog_id=""ATP_synthase_mitochondrial_F1_complex_assembly_factor_2"""
NP_663781,MRPL24,"Chr_19	AUGUSTUS	gene	14556052	14558234	.	+	.	ID=Marm_10492;blast_id=""sp|Q96A35|RM24_HUMAN"";interproscan_id=""IPR003256"";eggnog_id=""structural_constituent_of_ribosome"""
NP_665707,MGST1,"Chr_7	AUGUSTUS	gene	78556380	78573447	.	+	.	ID=Marm_26135;blast_id=""sp|P10620|MGST1_HUMAN"";interproscan_id=""IPR023352"";eggnog_id=""cellular_response_to_lipid_hydroperoxide"""
NP_665734,MGST1,"Chr_7	AUGUSTUS	gene	78556380	78573447	.	+	.	ID=Marm_26135;blast_id=""sp|P10620|MGST1_HUMAN"";interproscan_id=""IPR023352"";eggnog_id=""cellular_response_to_lipid_hydroperoxide"""
NP_665735,MGST1,"Chr_7	AUGUSTUS	gene	78556380	78573447	.	+	.	ID=Marm_26135;blast_id=""sp|P10620|MGST1_HUMAN"";interproscan_id=""IPR023352"";eggnog_id=""cellular_response_to_lipid_hydroperoxide"""
NP_665811,AIFM1,"Chr_15	AUGUSTUS	gene	5252851	5271285	.	+	.	ID=Marm_08142;blast_id=""sp|O95831|AIFM1_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""apoptosis-inducing_factor"""
NP_665812,AIFM1,"Chr_15	AUGUSTUS	gene	5252851	5271285	.	+	.	ID=Marm_08142;blast_id=""sp|O95831|AIFM1_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""apoptosis-inducing_factor"""
NP_665877,GSTZ1,"Chr_5	AUGUSTUS	gene	33896543	33910533	.	-	.	ID=Marm_23289;blast_id=""sp|O43708|MAAI_HUMAN"";interproscan_id=""IPR005955"";eggnog_id=""maleylacetoacetate_isomerase_activity"""
NP_665878,GSTZ1,"Chr_5	AUGUSTUS	gene	33896543	33910533	.	-	.	ID=Marm_23289;blast_id=""sp|O43708|MAAI_HUMAN"";interproscan_id=""IPR005955"";eggnog_id=""maleylacetoacetate_isomerase_activity"""
NP_666499,MRPL4,"Chr_2	AUGUSTUS	gene	170571220	170581561	.	-	.	ID=Marm_14791;blast_id=""sp|Q9BYD3|RM04_HUMAN"";interproscan_id=""IPR013005"";eggnog_id=""ribosomal_protein_L4"""
NP_666500,MRPL4,"Chr_2	AUGUSTUS	gene	170571220	170581561	.	-	.	ID=Marm_14791;blast_id=""sp|Q9BYD3|RM04_HUMAN"";interproscan_id=""IPR013005"";eggnog_id=""ribosomal_protein_L4"""
NP_671517,ACOT11,"Chr_3	AUGUSTUS	gene	92013548	92091335	.	-	.	ID=Marm_19395;blast_id=""sp|Q8WXI4|ACO11_HUMAN"";interproscan_id=""IPR040170"";eggnog_id=""acyl-CoA_hydrolase_activity"""
NP_671701,NUDT2,Chr_9	AUGUSTUS	gene	3162967	3166805	.	+	.	ID=Marm_28361;
NP_671702,NUDT2,Chr_9	AUGUSTUS	gene	3162967	3166805	.	+	.	ID=Marm_28361;
NP_683682,RCC1L,"Chr_21	AUGUSTUS	gene	8562062	8602641	.	-	.	ID=Marm_15865;blast_id=""sp|P14598|NCF1_HUMAN"";interproscan_id=""IPR001655"";eggnog_id=""factor_1"""
NP_683684,MIEF2,"Chr_18	AUGUSTUS	gene	1655344	1662868	.	-	.	ID=Marm_09964;blast_id=""sp|Q96C03|MID49_HUMAN"";interproscan_id=""IPR024810"";eggnog_id=""Mitochondrial_elongation_factor_2"""
NP_683710,ABHD11,"Chr_21	AUGUSTUS	gene	6283476	6288712	.	+	.	ID=Marm_15643;blast_id=""sp|Q8NFV4|ABHDB_HUMAN"";interproscan_id=""IPR029058"";eggnog_id=""hydrolase_activity"""
NP_683711,ABHD11,"Chr_21	AUGUSTUS	gene	6283476	6288712	.	+	.	ID=Marm_15643;blast_id=""sp|Q8NFV4|ABHDB_HUMAN"";interproscan_id=""IPR029058"";eggnog_id=""hydrolase_activity"""
NP_689451,CPT1B,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_689452,CPT1B,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_689481,PARS2,"Chr_3	AUGUSTUS	gene	91854297	91866361	.	+	.	ID=Marm_17475;blast_id=""sp|Q7L3T8|SYPM_HUMAN"";interproscan_id=""IPR002314"";eggnog_id=""prolyl-tRNA_aminoacylation"""
NP_689482,C12orf65,"Chr_17	AUGUSTUS	gene	14412216	14418934	.	+	.	ID=Marm_09329;blast_id=""sp|Q9H3J6|MTRFR_HUMAN"";interproscan_id=""IPR000352"";eggnog_id=""peptide_chain_release_factor_C12orf65_homolog,_mitochondrial"""
NP_689565,FAM210A,Chr_6	AUGUSTUS	gene	45742159	45756106	.	+	.	ID=Marm_24268;
NP_689572,CPT1C,"Chr_9	AUGUSTUS	gene	43504570	43516830	.	-	.	ID=Marm_29273;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""Choline/Carnitine_o-acyltransferase"""
NP_689611,OCIAD2,"Chr_8	AUGUSTUS	gene	19723567	19728040	.	-	.	ID=Marm_27793;eggnog_id=""Ovarian_carcinoma_immunoreactive_antigen_(OCIA)"""
NP_689620,GRPEL2,"Chr_2	AUGUSTUS	gene	100629854	100634569	.	+	.	ID=Marm_11993;blast_id=""sp|Q8TAA5|GRPE2_HUMAN"";interproscan_id=""IPR000740"";eggnog_id=""adenyl-nucleotide_exchange_factor_activity"""
NP_689629,NDUFAF6,"Chr_6	AUGUSTUS	gene	78836537	78857491	.	+	.	ID=Marm_24519;blast_id=""sp|Q330K2|NDUF6_HUMAN"";interproscan_id=""IPR008949"";eggnog_id=""NADH_dehydrogenase_(ubiquinone)_complex_I,_assembly_factor_6"""
NP_689755,PPM1K,"Chr_8	AUGUSTUS	gene	70885648	70906780	.	+	.	ID=Marm_27479;blast_id=""sp|Q8N3J5|PPM1K_HUMAN"";interproscan_id=""IPR036457"";eggnog_id=""protein_serine/threonine_phosphatase_activity"""
NP_689849,METTL15,"Chr_5	AUGUSTUS	gene	78313272	78324854	.	+	.	ID=Marm_22719;blast_id=""sp|A6NJ78|MET15_HUMAN"";interproscan_id=""IPR002903"";eggnog_id=""methyltransferase-like_protein_15"""
NP_689896,PRIMPOL,"Chr_8	AUGUSTUS	gene	27840310	27850470	.	-	.	ID=Marm_27853;blast_id=""sp|Q96LW4|PRIPO_HUMAN"";interproscan_id=""IPR044917"";eggnog_id=""Primase_and_polymerase_(DNA-directed)"""
NP_689920,SLC25A16,"Chr_4	AUGUSTUS	gene	22380942	22396542	.	+	.	ID=Marm_20720;blast_id=""sp|P16260|GDC_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""Belongs_to_the_mitochondrial_carrier_(TC_2.A.29)_family"""
NP_689939,MICU2,Chr_1	AUGUSTUS	gene	264657968	264680225	.	+	.	ID=Marm_01856;
NP_689953,HIBADH,Chr_10	AUGUSTUS	gene	39366551	39387902	.	-	.	ID=Marm_05049;
NP_689996,D2HGDH,"Chr_4	AUGUSTUS	gene	72157820	72166952	.	-	.	ID=Marm_21838;blast_id=""sp|Q8N465|D2HDH_HUMAN"";interproscan_id=""IPR016164"";eggnog_id=""D-2-hydroxyglutarate_dehydrogenase"""
NP_690876,MTIF3,"Chr_1	AUGUSTUS	gene	262306419	262309644	.	+	.	ID=Marm_01841;blast_id=""sp|Q9H2K0|IF3M_HUMAN"";interproscan_id=""IPR001288"";eggnog_id=""initiation_factor"""
NP_694558,NADK2,"Chr_9	AUGUSTUS	gene	18620999	18643592	.	-	.	ID=Marm_29104;blast_id=""sp|Q4G0N4|NAKD2_HUMAN"";interproscan_id=""IPR012355"";eggnog_id=""Mitochondrial_NAD(_)_kinase_that_phosphorylates_NAD(_)_to_yield_NADP(_)._Can_use_both_ATP_or_inorganic_polyphosphate_as_the_phosphoryl_donor"""
NP_699170,PUSL1,"Chr_22	AUGUSTUS	gene	6454554	6476868	.	-	.	ID=Marm_16194;blast_id=""sp|Q8N0Z8|PUSL1_HUMAN"";interproscan_id=""IPR001406"";eggnog_id=""tRNA_pseudouridine_synthesis"""
NP_699193,PRSS35,"Chr_1	AUGUSTUS	gene	105718050	105730964	.	-	.	ID=Marm_02885;blast_id=""sp|Q8N3Z0|PRS35_HUMAN"";interproscan_id=""IPR009003"";eggnog_id=""Protease,_serine,_35"""
NP_705690,LDHD,"Chr_14	AUGUSTUS	gene	5376884	5385881	.	+	.	ID=Marm_07613;blast_id=""sp|Q86WU2|LDHD_HUMAN"";interproscan_id=""IPR004113"";eggnog_id=""Dehydrogenase"""
NP_705902,PANK2,"Chr_8	AUGUSTUS	gene	81749839	81766760	.	-	.	ID=Marm_28213;blast_id=""sp|Q9BZ23|PANK2_HUMAN"";interproscan_id=""IPR004567"";eggnog_id=""Pantothenate_kinase_2"""
NP_705904,PANK2,"Chr_8	AUGUSTUS	gene	81749839	81766760	.	-	.	ID=Marm_28213;blast_id=""sp|Q9BZ23|PANK2_HUMAN"";interproscan_id=""IPR004567"";eggnog_id=""Pantothenate_kinase_2"""
NP_710156,C2orf69,"Chr_11	AUGUSTUS	gene	45131020	45135391	.	+	.	ID=Marm_05570;blast_id=""sp|Q8N8R5|CB069_HUMAN"";interproscan_id=""IPR018881"";eggnog_id=""Uncharacterised_protein_family_UPF0565"""
NP_714917,SETD9,"Chr_9	AUGUSTUS	gene	26019261	26033066	.	+	.	ID=Marm_28539;blast_id=""sp|Q8NE22|SETD9_HUMAN"";interproscan_id=""IPR040415"";eggnog_id=""methyltransferase_activity"""
NP_722546,PYCR1,"Chr_2	AUGUSTUS	gene	127603674	127614987	.	+	.	ID=Marm_12230;blast_id=""sp|P32322|P5CR1_HUMAN"";interproscan_id=""IPR000304"";eggnog_id=""Pyrroline-5-carboxylate_reductase"""
NP_733781,GFM2,Chr_9	AUGUSTUS	gene	33832537	33844897	.	+	.	ID=Marm_28595;
NP_733792,GFM2,Chr_9	AUGUSTUS	gene	33832537	33844897	.	+	.	ID=Marm_28595;
NP_733844,ALDH4A1,"Chr_22	AUGUSTUS	gene	10002424	10020636	.	+	.	ID=Marm_16092;blast_id=""sp|P30038|AL4A1_HUMAN"";interproscan_id=""IPR005931"";eggnog_id=""1-pyrroline-5-carboxylate_dehydrogenase_activity"""
NP_733934,MRPL11,"Chr_19	AUGUSTUS	gene	5993996	6022306	.	+	.	ID=Marm_10300;blast_id=""sp|Q9Y3B7|RM11_HUMAN"";interproscan_id=""IPR000911"";eggnog_id=""ribosomal_protein_L11"""
NP_733935,MRPL11,"Chr_19	AUGUSTUS	gene	5993996	6022306	.	+	.	ID=Marm_10300;blast_id=""sp|Q9Y3B7|RM11_HUMAN"";interproscan_id=""IPR000911"";eggnog_id=""ribosomal_protein_L11"""
NP_733936,ALDH5A1,"Chr_6	AUGUSTUS	gene	35680875	35694306	.	+	.	ID=Marm_24218;blast_id=""sp|P51649|SSDH_HUMAN"";interproscan_id=""IPR016161"";eggnog_id=""succinate-semialdehyde_dehydrogenase_[NAD(P)+]_activity"""
NP_741982,LACTB,"Chr_16	AUGUSTUS	gene	2509690	2520345	.	-	.	ID=Marm_08927;blast_id=""sp|P83111|LACTB_HUMAN"";interproscan_id=""IPR012338"";eggnog_id=""Serine_beta-lactamase-like_protein_LACTB,_mitochondrial"""
NP_741999,HSCB,"Chr_17	AUGUSTUS	gene	20191686	20193624	.	+	.	ID=Marm_09409;blast_id=""sp|Q8IWL3|HSC20_HUMAN"";interproscan_id=""IPR004640"";eggnog_id=""Iron-sulfur_cluster_co-chaperone_protein_HscB,_mitochondrial"""
NP_751917,MRPL42,"Chr_7	AUGUSTUS	gene	51656523	51663868	.	+	.	ID=Marm_25878;blast_id=""sp|Q9Y6G3|RM42_HUMAN"";interproscan_id=""IPR019346"";eggnog_id=""Mitochondrial_28S_ribosomal_protein_S32"""
NP_758454,MMAA,"Chr_8	AUGUSTUS	gene	45118488	45126639	.	-	.	ID=Marm_27953;blast_id=""sp|Q8IVH4|MMAA_HUMAN"";interproscan_id=""IPR005129"";eggnog_id=""cobalamin_biosynthetic_process"""
NP_758455,MRPL54,"Chr_23	AUGUSTUS	gene	6701901	6703313	.	+	.	ID=Marm_16419;blast_id=""sp|Q6P161|RM54_HUMAN"";interproscan_id=""IPR013870"";eggnog_id=""ribosomal_protein_L54"""
NP_775738,MCAT,"Chr_7	AUGUSTUS	gene	5794491	5802407	.	+	.	ID=Marm_25609;blast_id=""sp|Q8IVS2|FABD_HUMAN"";interproscan_id=""IPR014043"";eggnog_id=""malonyltransferase_activity"""
NP_775742,SLC25A26,"Chr_2	AUGUSTUS	gene	32366700	32522587	.	+	.	ID=Marm_11466;blast_id=""sp|Q70HW3|SAMC_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""S-adenosyl-L-methionine_transmembrane_transporter_activity"""
NP_775908,SLC25A41,"Chr_2	AUGUSTUS	gene	168634140	168679931	.	+	.	ID=Marm_12683;blast_id=""sp|Q9BV35|SCMC3_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""Belongs_to_the_mitochondrial_carrier_(TC_2.A.29)_family"""
NP_775928,C3orf33,"Chr_4	AUGUSTUS	gene	89669357	89716371	.	-	.	ID=Marm_21955;blast_id=""sp|Q6P1S2|CC033_HUMAN"";interproscan_id=""IPR042421"";eggnog_id=""Chromosome_3_open_reading_frame_33"""
NP_775930,RPUSD3,"Chr_2	AUGUSTUS	gene	24398518	24408607	.	-	.	ID=Marm_13583;blast_id=""sp|Q6P087|RUSD3_HUMAN"";interproscan_id=""IPR020103"";eggnog_id=""tRNA_pseudouridine_synthesis"""
NP_776065,ELAC2,"Chr_2	AUGUSTUS	gene	112880843	112900183	.	+	.	ID=Marm_12079;blast_id=""sp|Q9BQ52|RNZ2_HUMAN"";interproscan_id=""IPR036866"";eggnog_id=""mitochondrial_tRNA_3'-trailer_cleavage,_endonucleolytic"""
NP_776155,FUNDC1,"Chr_1	AUGUSTUS	gene	219332077	219346687	.	-	.	ID=Marm_03572;blast_id=""sp|Q8IVP5|FUND1_HUMAN"";interproscan_id=""IPR007014"";eggnog_id=""mitochondrion_disassembly"""
NP_776163,ETFBKMT,"Chr_7	AUGUSTUS	gene	73378862	73384870	.	-	.	ID=Marm_26825;blast_id=""sp|Q8IXQ9|ETKMT_HUMAN"";interproscan_id=""IPR029063"";eggnog_id=""regulation_of_fatty_acid_beta-oxidation_using_acyl-CoA_dehydrogenase"""
NP_776164,MPV17L,"Chr_18	AUGUSTUS	gene	17958472	17961655	.	-	.	ID=Marm_10195;blast_id=""sp|Q2QL34|MP17L_HUMAN"";interproscan_id=""IPR007248"";eggnog_id=""Mpv17-like_protein"""
NP_776187,TCAIM,"Chr_10	AUGUSTUS	gene	48056147	48071981	.	-	.	ID=Marm_05109;blast_id=""sp|Q8N3R3|TCAIM_HUMAN"";interproscan_id=""IPR027986"";eggnog_id=""Domain_of_unknown_function_(DUF4461)"""
NP_776188,COX18,"Chr_3	AUGUSTUS	gene	131347073	131363946	.	+	.	ID=Marm_17838;blast_id=""sp|Q8N8Q8|COX18_HUMAN"";interproscan_id=""IPR001708"";eggnog_id=""Mitochondrial_inner_membrane_protein"""
NP_777280,IDH3B,"Chr_8	AUGUSTUS	gene	87352230	87364539	.	+	.	ID=Marm_27634;blast_id=""sp|O43837|IDH3B_HUMAN"";interproscan_id=""IPR004434"";eggnog_id=""Isocitrate_dehydrogenase_NAD_subunit"""
NP_777358,IDH3G,"Chr_2	AUGUSTUS	gene	166166500	166177882	.	+	.	ID=Marm_12645;blast_id=""sp|P51553|IDH3G_HUMAN"";interproscan_id=""IPR004434"";eggnog_id=""isocitrate_dehydrogenase_(NAD+)_activity"""
NP_777549,NDUFAF2,"Chr_9	AUGUSTUS	gene	27717472	27771831	.	+	.	ID=Marm_28546;blast_id=""sp|Q8N183|NDUF2_HUMAN"";interproscan_id=""IPR007763"";eggnog_id=""NADH_dehydrogenase_(ubiquinone)_activity"""
NP_777577,ACSF3,"Chr_14	AUGUSTUS	gene	23653008	23712377	.	-	.	ID=Marm_08070;blast_id=""sp|Q4G176|ACSF3_HUMAN"";interproscan_id=""IPR042099"";eggnog_id=""malonate_catabolic_process"""
NP_777582,ADCK5,"Chr_6	AUGUSTUS	gene	105945520	105968133	.	+	.	ID=Marm_24707;blast_id=""sp|Q3MIX3|ADCK5_HUMAN"";interproscan_id=""IPR011009"";eggnog_id=""kinase_5"""
NP_777587,SPATA19,"Chr_4	AUGUSTUS	gene	115168321	115204350	.	-	.	ID=Marm_22155;blast_id=""sp|O95832|CLD1_HUMAN"";interproscan_id=""IPR003548"";eggnog_id=""Plays_a_major_role_in_tight_junction-specific_obliteration_of_the_intercellular_space,_through_calcium-_independent_cell-adhesion_activity"""
NP_783313,NDUFA11,"Chr_23	AUGUSTUS	gene	342373	344732	.	-	.	ID=Marm_16466;blast_id=""sp|Q86Y39|NDUAB_HUMAN"";interproscan_id=""IPR039205"";eggnog_id=""NADH_dehydrogenase_ubiquinone_1_alpha_subcomplex"""
NP_783859,PTPMT1,"Chr_5	AUGUSTUS	gene	60050792	60057417	.	-	.	ID=Marm_23495;blast_id=""sp|Q8WUK0|PTPM1_HUMAN"";interproscan_id=""IPR042165"";eggnog_id=""Phosphatidylglycerophosphatase_and_protein-tyrosine_phosphatase_1"""
NP_787103,ZADH2,"Chr_6	AUGUSTUS	gene	39756287	39767346	.	+	.	ID=Marm_24244;blast_id=""sp|Q8N4Q0|PTGR3_HUMAN"";interproscan_id=""IPR020843"";eggnog_id=""Zinc-binding_alcohol_dehydrogenase_domain-containing_protein_2"""
NP_789775,MRPS11,"Chr_16	AUGUSTUS	gene	17146076	17154717	.	-	.	ID=Marm_09065;blast_id=""sp|P82912|RT11_HUMAN"";interproscan_id=""IPR001971"";eggnog_id=""small_ribosomal_subunit_rRNA_binding"""
NP_789788,GATC,"Chr_17	AUGUSTUS	gene	10956637	10959605	.	+	.	ID=Marm_09270;blast_id=""sp|O43716|GATC_HUMAN"";interproscan_id=""IPR003837"";eggnog_id=""glutamyl-tRNA(Gln)_amidotransferase_subunit_C,_mitochondrial"""
NP_789842,PPA2,"Chr_4	AUGUSTUS	gene	21051594	21080438	.	+	.	ID=Marm_20710;blast_id=""sp|Q15181|IPYR_HUMAN"";interproscan_id=""IPR036649"";eggnog_id=""inorganic_diphosphatase_activity"""
NP_789843,PPA2,"Chr_8	AUGUSTUS	gene	62527586	62558714	.	+	.	ID=Marm_27425;blast_id=""sp|Q9H2U2|IPYR2_HUMAN"";interproscan_id=""IPR036649"";eggnog_id=""Pyrophosphatase_(inorganic)_2"""
NP_789845,PPA2,"Chr_8	AUGUSTUS	gene	62527586	62558714	.	+	.	ID=Marm_27425;blast_id=""sp|Q9H2U2|IPYR2_HUMAN"";interproscan_id=""IPR036649"";eggnog_id=""Pyrophosphatase_(inorganic)_2"""
NP_803431,FTMT,"Chr_3	AUGUSTUS	gene	131568856	131569386	.	-	.	ID=Marm_19757;blast_id=""sp|P02794|FRIH_HUMAN"";interproscan_id=""IPR012347"";eggnog_id=""Stores_iron_in_a_soluble,_non-toxic,_readily_available_form._Important_for_iron_homeostasis._Iron_is_taken_up_in_the_ferrous_form_and_deposited_as_ferric_hydroxides_after_oxidation"""
NP_808816,ARMCX3,"Chr_7	AUGUSTUS	gene	14865694	14877444	.	+	.	ID=Marm_25679;blast_id=""sp|Q8N2F6|ARM10_HUMAN"";interproscan_id=""IPR011989"";eggnog_id=""Armadillo-like"""
NP_808817,ARMCX3,"Chr_7	AUGUSTUS	gene	14865694	14877444	.	+	.	ID=Marm_25679;blast_id=""sp|Q8N2F6|ARM10_HUMAN"";interproscan_id=""IPR011989"";eggnog_id=""Armadillo-like"""
NP_808818,ARMCX2,"Chr_7	AUGUSTUS	gene	14865694	14877444	.	+	.	ID=Marm_25679;blast_id=""sp|Q8N2F6|ARM10_HUMAN"";interproscan_id=""IPR011989"";eggnog_id=""Armadillo-like"""
NP_808881,PDE12,"Chr_2	AUGUSTUS	gene	54307364	54311733	.	-	.	ID=Marm_13767;blast_id=""sp|Q6L8Q7|PDE12_HUMAN"";interproscan_id=""IPR036691"";eggnog_id=""Endonuclease/Exonuclease/phosphatase_family"""
NP_817125,MRPL47,"Chr_4	AUGUSTUS	gene	104393817	104401363	.	-	.	ID=Marm_22043;blast_id=""sp|Q9HD33|RM47_HUMAN"";interproscan_id=""IPR010729"";eggnog_id=""ribosomal_protein_L47"""
NP_835471,NMNAT3,"Chr_4	AUGUSTUS	gene	75386022	75435906	.	-	.	ID=Marm_21871;blast_id=""sp|Q96T66|NMNA3_HUMAN"";interproscan_id=""IPR014729"";eggnog_id=""adenylyltransferase_3"""
NP_835497,ATP5IF1,"Chr_13	AUGUSTUS	gene	17443631	17447401	.	-	.	ID=Marm_07326;blast_id=""sp|Q9UII2|ATIF1_HUMAN"";interproscan_id=""IPR007648"";eggnog_id=""ATPase_inhibitor"""
NP_835498,ATP5IF1,"Chr_13	AUGUSTUS	gene	17443631	17447401	.	-	.	ID=Marm_07326;blast_id=""sp|Q9UII2|ATIF1_HUMAN"";interproscan_id=""IPR007648"";eggnog_id=""ATPase_inhibitor"""
NP_848026,MRPL52,"Chr_3	AUGUSTUS	gene	169721472	169729785	.	+	.	ID=Marm_18511;blast_id=""sp|Q86TS9|RM52_HUMAN"";interproscan_id=""IPR034596"";eggnog_id=""ribosomal_protein_L52"""
NP_848621,SLC25A42,"Chr_23	AUGUSTUS	gene	1766522	1782917	.	+	.	ID=Marm_16328;blast_id=""sp|Q86VD7|S2542_HUMAN"";interproscan_id=""IPR040169"";eggnog_id=""coenzyme_A_transmembrane_transporter_activity"""
NP_848652,NAT8L,"Chr_1	AUGUSTUS	gene	157121792	157127774	.	-	.	ID=Marm_03242;blast_id=""sp|Q8N9F0|NAT8L_HUMAN"";interproscan_id=""IPR000182"";eggnog_id=""N-acetyltransferase_8-like"""
NP_849158,PLD6,"Chr_18	AUGUSTUS	gene	2292389	2293787	.	+	.	ID=Marm_09706;blast_id=""sp|Q8N2A8|PLD6_HUMAN"";interproscan_id=""IPR025202"";eggnog_id=""Mitochondrial_cardiolipin_hydrolase"""
NP_849189,SFXN2,Chr_4	AUGUSTUS	gene	60307256	60321900	.	-	.	ID=Marm_21727;
NP_851313,MRPL52,"Chr_3	AUGUSTUS	gene	169721472	169729785	.	+	.	ID=Marm_18511;blast_id=""sp|Q86TS9|RM52_HUMAN"";interproscan_id=""IPR034596"";eggnog_id=""ribosomal_protein_L52"""
NP_851824,MRPL52,"Chr_3	AUGUSTUS	gene	169721472	169729785	.	+	.	ID=Marm_18511;blast_id=""sp|Q86TS9|RM52_HUMAN"";interproscan_id=""IPR034596"";eggnog_id=""ribosomal_protein_L52"""
NP_851828,TAZ,"Chr_2	AUGUSTUS	gene	166124304	166130807	.	-	.	ID=Marm_14726;blast_id=""sp|Q16635|TAZ_HUMAN"";interproscan_id=""IPR000872"";eggnog_id=""cardiolipin_acyl-chain_remodeling"""
NP_851829,TAZ,"Chr_2	AUGUSTUS	gene	166124304	166130807	.	-	.	ID=Marm_14726;blast_id=""sp|Q16635|TAZ_HUMAN"";interproscan_id=""IPR000872"";eggnog_id=""cardiolipin_acyl-chain_remodeling"""
NP_851830,TAZ,"Chr_2	AUGUSTUS	gene	166124304	166130807	.	-	.	ID=Marm_14726;blast_id=""sp|Q16635|TAZ_HUMAN"";interproscan_id=""IPR000872"";eggnog_id=""cardiolipin_acyl-chain_remodeling"""
NP_851999,OXR1,"Chr_6	AUGUSTUS	gene	84138443	84276122	.	+	.	ID=Marm_24560;blast_id=""sp|Q8N573|OXR1_HUMAN"";interproscan_id=""IPR006571"";eggnog_id=""negative_regulation_of_peptidyl-cysteine_S-nitrosylation"""
NP_852090,FXN,"Chr_9	AUGUSTUS	gene	74655477	74664475	.	-	.	ID=Marm_29469;blast_id=""sp|Q16595|FRDA_HUMAN"";interproscan_id=""IPR036524"";eggnog_id=""regulation_of_ferrochelatase_activity"""
NP_852106,MRPL55,"Chr_10	AUGUSTUS	gene	4726640	4729969	.	-	.	ID=Marm_04768;blast_id=""sp|Q7Z7F7|RM55_HUMAN"";interproscan_id=""IPR018615"";eggnog_id=""ribosomal_protein_L55"""
NP_852119,MRPL55,"Chr_10	AUGUSTUS	gene	4726640	4729969	.	-	.	ID=Marm_04768;blast_id=""sp|Q7Z7F7|RM55_HUMAN"";interproscan_id=""IPR018615"";eggnog_id=""ribosomal_protein_L55"""
